trial,accuracy
0,0.8375
1,0.8324999999999999
2,0.8450000000000001
3,0.8474999999999999
4,0.85
5,0.85
6,0.86
7,0.8300000000000001
8,0.8299999999999998
9,0.8274999999999999
10,0.8525
11,0.85
12,0.8450000000000001
13,0.85
14,0.8524999999999998
15,0.8675
16,0.82
17,0.86
18,0.845
19,0.8225
20,0.825
21,0.8625
22,0.865
23,0.8625
24,0.8674999999999999
25,0.8525
26,0.8324999999999999
27,0.8575000000000002
28,0.8525
29,0.8300000000000001
30,0.8675
31,0.8525
32,0.8550000000000001
33,0.8550000000000001
34,0.865
35,0.8425
36,0.8300000000000001
37,0.865
38,0.8450000000000001
39,0.8324999999999999
40,0.8575000000000002
41,0.8625
42,0.8550000000000001
43,0.8574999999999999
44,0.8574999999999999
45,0.86
46,0.8475000000000001
47,0.8574999999999999
48,0.865
49,0.86
50,0.8425
51,0.8674999999999999
52,0.8674999999999999
53,0.85
54,0.8575000000000002
55,0.865
56,0.8675
57,0.8525
58,0.86
59,0.8574999999999999
60,0.8375
61,0.86
62,0.8625
63,0.86
64,0.8474999999999999
65,0.8574999999999999
66,0.8450000000000001
67,0.8625
68,0.8300000000000001
69,0.8549999999999999
70,0.8724999999999999
71,0.8724999999999999
72,0.865
73,0.85
74,0.845
75,0.8550000000000001
76,0.8525
77,0.8625
78,0.86
79,0.865
80,0.8300000000000001
81,0.86
82,0.8625
83,0.8625
84,0.86
85,0.865
86,0.86
87,0.8550000000000001
88,0.8625
89,0.8675
90,0.8699999999999999
91,0.8625
92,0.8574999999999999
93,0.85
94,0.8649999999999999
95,0.865
96,0.8625
97,0.8399999999999999
98,0.845
99,0.8549999999999999
