,precision,recall,f1-score,support
0,0.7941176470588235,0.7297297297297297,0.7605633802816901,37.0
1,0.782608695652174,0.8372093023255814,0.8089887640449438,43.0
accuracy,0.7875,0.7875,0.7875,0.7875
macro avg,0.7883631713554987,0.7834695160276556,0.784776072163317,80.0
weighted avg,0.7879315856777493,0.7875,0.786592024054439,80.0
