Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
LightGBM,0.8675,0.8726795154767458,0.8675,0.8665821258071519,0.9327846130477709
XGBoost,0.8625,0.868977112648199,0.8625,0.8612800797802344,0.936325662641452
Voting (Hard),0.8625,0.8680675788149472,0.8625,0.861106993931579,
Extra Trees,0.86,0.8650068377465402,0.86,0.8591261725086682,0.9325112022480443
Gradient Boosting,0.8575000000000002,0.8654293980281162,0.8575000000000002,0.8553960941505618,0.9289929368876738
Voting (Soft),0.8550000000000001,0.8609602212921587,0.8550000000000001,0.8534066830534132,0.941831852358168
Random Forest,0.8525,0.8596663176997021,0.8525,0.8507009949868065,0.932230196703881
Stacking (LR),0.8525,0.8571714768540428,0.8525,0.8513803816076655,0.9403204982152351
Stacking (RF),0.835,0.8398594708655788,0.835,0.833870164743016,0.9221595655806183
