,precision,recall,f1-score,support
0,0.8235294117647058,0.7567567567567568,0.7887323943661971,37.0
1,0.8043478260869565,0.8604651162790697,0.8314606741573034,43.0
accuracy,0.8125,0.8125,0.8125,0.8125
macro avg,0.8139386189258312,0.8086109365179133,0.8100965342617503,80.0
weighted avg,0.8132193094629155,0.8125,0.8116988447539167,80.0
