trial,accuracy
0,0.8175000000000001
1,0.8425
2,0.8450000000000001
3,0.85
4,0.8400000000000001
5,0.8474999999999999
6,0.8550000000000001
7,0.8550000000000001
8,0.8375
9,0.8474999999999999
10,0.8525
11,0.865
12,0.8525
13,0.8550000000000001
14,0.8575000000000002
15,0.8575000000000002
16,0.8525
17,0.8575000000000002
18,0.8625
19,0.8324999999999999
20,0.8625
21,0.8600000000000001
22,0.8700000000000001
23,0.85
24,0.8474999999999999
25,0.8674999999999999
26,0.8549999999999999
27,0.865
28,0.8474999999999999
29,0.8400000000000001
30,0.8474999999999999
31,0.865
32,0.8575000000000002
33,0.86
34,0.8625
35,0.8525
36,0.8625
37,0.8625
38,0.8574999999999999
39,0.85
40,0.8550000000000001
41,0.8675
42,0.8625
43,0.8625
44,0.8625
45,0.8575000000000002
46,0.8625
47,0.8375
48,0.8699999999999999
49,0.85
50,0.8674999999999999
51,0.8550000000000001
52,0.86
53,0.8625
54,0.8699999999999999
55,0.875
56,0.8649999999999999
57,0.865
58,0.8724999999999999
59,0.865
60,0.865
61,0.885
62,0.8649999999999999
63,0.8775000000000001
64,0.8675
65,0.8675
66,0.8700000000000001
67,0.8574999999999999
68,0.845
69,0.8550000000000001
70,0.8474999999999999
71,0.8699999999999999
72,0.8675
73,0.8749999999999998
74,0.8774999999999998
75,0.865
76,0.86
77,0.8625
78,0.8550000000000001
79,0.865
80,0.8625
81,0.8699999999999999
82,0.8674999999999999
83,0.8625
84,0.865
85,0.8574999999999999
86,0.845
87,0.8625
88,0.865
89,0.86
90,0.8675
91,0.8699999999999999
92,0.8700000000000001
93,0.8574999999999999
94,0.8675
95,0.86
96,0.8575000000000002
97,0.8400000000000001
98,0.8474999999999999
99,0.8574999999999999
