trial,accuracy
0,0.7875
1,0.8400000000000001
2,0.8125
3,0.8425
4,0.8674999999999999
5,0.86
6,0.8425
7,0.835
8,0.8324999999999999
9,0.8525
10,0.86
11,0.8674999999999999
12,0.86
13,0.8574999999999999
14,0.8574999999999999
15,0.8674999999999999
16,0.86
17,0.8574999999999999
18,0.8474999999999999
19,0.8574999999999999
20,0.8425
21,0.8674999999999999
22,0.8574999999999999
23,0.8625
24,0.8625
25,0.8625
26,0.845
27,0.8674999999999999
28,0.86
29,0.8074999999999999
30,0.805
31,0.8674999999999999
32,0.8574999999999999
33,0.8699999999999999
34,0.8450000000000001
35,0.845
36,0.77
37,0.8549999999999999
38,0.8474999999999999
39,0.7925
40,0.8549999999999999
41,0.8625
42,0.8574999999999999
43,0.86
44,0.86
45,0.8625
46,0.8625
47,0.86
48,0.8674999999999999
49,0.86
50,0.8575000000000002
51,0.8649999999999999
52,0.8674999999999999
53,0.8525
54,0.8299999999999998
55,0.8649999999999999
56,0.8574999999999999
57,0.86
58,0.775
59,0.86
60,0.86
61,0.8699999999999999
62,0.8549999999999999
63,0.8674999999999999
64,0.8625
65,0.8674999999999999
66,0.8525
67,0.8474999999999999
68,0.8625
69,0.8074999999999999
70,0.86
71,0.8699999999999999
72,0.8674999999999999
73,0.845
74,0.86
75,0.8550000000000001
76,0.8625
77,0.8525
78,0.8674999999999999
79,0.86
80,0.8675
81,0.8699999999999999
82,0.8625
83,0.8649999999999999
84,0.8625
85,0.8625
86,0.86
87,0.8025
88,0.8625
89,0.8450000000000001
90,0.8525
91,0.8549999999999999
92,0.8649999999999999
93,0.8649999999999999
94,0.8625
95,0.85
96,0.86
97,0.8699999999999999
98,0.8699999999999999
99,0.8649999999999999
